token	frequency	error
gaana	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
gali	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
gaon	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
gud	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
gussa	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
gyaan	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
haryana	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
himmat	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
hokar	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
huye	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
intezaar	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jaake	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jashn	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
jitni	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kafi	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kahani	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
karein	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kese	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khada	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khali	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khao	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
khareed	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kijiye	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
kyuki	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
mandir	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
namo	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
nehi	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
paa	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
paida	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
paytm	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
pila	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
purane	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
qandeel	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
raggedtag	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rahulroushan	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
raina	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rajiv	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rakhi	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rakhne	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
rona	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sabka	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sher	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
sunne	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
surgicalstrikes	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
taiyaar	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ulta	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
utar	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
virodh	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
vodafone	11	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
aagaye	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
aai	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ambani	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
amitshah	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ankit	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ayega	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
ayye	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bacche	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bache	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
banao	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
banna	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
banti	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
barabar	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bcci	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bechare	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bheja	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
bhejo	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
chaal	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
chota	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
could	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
darna	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dekar	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dhan	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dharm	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dikhane	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dikhao	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
dilwale	10	rate-limit: HTTP 429 rate-limit (no Retry-After header in response)
