token	frequency	source	devanagari_candidate_1	devanagari_candidate_2	devanagari_candidate_3	devanagari_candidate_4
apne	164	pilot_pool	अपने	आपने	अप्ने	अपनें
dekh	163	pilot_pool	देख	डेख	देक	दीख
baar	162	pilot_pool	बार	बर	बॉर	भार
thi	162	override_list	थी	थि	ठी	ती
baad	161	pilot_pool	बाद	बाड़	बाढ़	बाड
meri	161	pilot_pool	मेरी	मेरि	मीरी	मरी
pata	160	pilot_pool	पता	पाटा	पटा	पाता
saath	158	pilot_pool	साथ	साठ	सात	साँठ
sirf	155	pilot_pool	सिर्फ	सिर्फ़	सर्फ	एसआईआरफ
dil	154	pilot_pool	दिल	डिल	दील	दिल्‌
hoga	154	pilot_pool	होगा	होग	हॉगा	हौगा
nhi	154	pilot_pool	नही	न्ही	न्हि	न्हीं
karte	153	pilot_pool	करते	कर्ते	कारते	कार्ते
salman	152	pilot_pool	सलमान	सालमान	सालमन	सलमन
karo	150	pilot_pool	करो	कारो	करों	कैरो
jab	149	override_list	जब	जाब	जैब	जब्‌
accha	148	pilot_pool	अच्छ	अछा	अच्च	अछ
alllahdin	148	pilot_pool	अल्लाहदीन	अलाहदीन	अल्लाहदिन	अल्लहदीन
naam	146	pilot_pool	नाम	नाम्‌	नां	नम
chahiye	142	pilot_pool	चाहिए	चाहिये	चहिये	चहिए
kaha	142	pilot_pool	कहा	कह	कह्‌	काह
meetuunnglee	139	pilot_pool	मीटूँगली	मीटूंगली	मीतूँंगली	मीतूंगली
phir	139	pilot_pool	फिर	फ़िर	पहिर	फीर
aisa	137	pilot_pool	एआईएसए	आइसा	आईसा	एआईएस
har	136	pilot_pool	हर	हार	हर्‌	हैर
mera	134	pilot_pool	मेरा	मीरा	मैरा	मेर
yaad	133	pilot_pool	याद	याड़	याद्‌	याड
hoti	131	pilot_pool	होती	होटी	होति	होटि
sahi	128	pilot_pool	सही	साही	सहि	साहि
karna	125	pilot_pool	करना	कारना	कर्णा	कर्ण
mahashivratri	124	pilot_pool	महाशिवरात्रि	महाशिवरात्री	महाश्विरात्रि	महाशिवरात्रिय
kisi	121	pilot_pool	किसी	कीसी	किसि	किसीं
tujhe	121	pilot_pool	तुझे	तूझे	तझे	टुझे
pyar	119	pilot_pool	प्यार	पयार	प्यर	पयर
bol	118	pilot_pool	बोल	बॉल	बोल्‌	बूल
haan	116	pilot_pool	हाँ	हां	हान	हाण
aaya	115	pilot_pool	आया	आय	अया	आएए
kaise	115	pilot_pool	कैसे	कइसे	कैस	केसे
bahot	114	pilot_pool	बहोत	बहोट	बाहोत	बाहोट
tere	114	pilot_pool	तेरे	टेरे	तेरें	टीर
zyada	114	pilot_pool	ज्यादा	ज़्यादा	ज्याडा	ज़्याडा
kam	112	pilot_pool	काम	कम	कैम	कम्‌
laga	112	pilot_pool	लगा	लागा	लग	लैगा
lagta	111	pilot_pool	लगता	लागता	लग्ता	लगटा
wala	110	pilot_pool	वाला	वला	वाल	वल
liya	109	pilot_pool	लिया	लीया	लिय	लीय
dhoni	108	pilot_pool	धोनी	ढोनी	धोनि	धोणी
lo	107	pilot_pool	लो	एलओ	लू	लॉ
iss	106	pilot_pool	आईएस	इस	इस्स	आईएसस
chal	105	pilot_pool	चल	चाल	छल	छाल
kab	105	pilot_pool	कब	काब	कैब	कब्‌
mai	105	pilot_pool	मई	माई	मै	माइ
kahan	104	pilot_pool	कहन	कहां	कहान	काहन
kejriwal	104	pilot_pool	केजरीवाल	केजरिवाल	केज्रीवाल	खेजरीवाल
itna	102	pilot_pool	इतना	इटना	इत्ना	इतनां
khud	102	pilot_pool	खुद	खुड़	ख़ुद	खूद
tumhare	102	pilot_pool	तुम्हारे	तुम्हरे	तुमहारे	तुमहरे
hote	100	pilot_pool	होते	होटे	होत	होट
apni	99	pilot_pool	अपनी	आपनी	अप्नी	अप्नि
shaadi	97	pilot_pool	शादी	शादि	शाड़ी	षाड़ी
gayi	95	pilot_pool	गयी	गई	गाई	गाइ
karta	91	pilot_pool	करता	कर्ता	कार्ता	कारता
raat	89	pilot_pool	रात	राट	राठ	रत
theek	88	pilot_pool	ठीक	थीक	तीक	टीक
wali	87	pilot_pool	वाली	वली	वालि	वलि
yahan	87	pilot_pool	यहां	यहान	यहाँ	यहन
rahul	86	pilot_pool	राहुल	राहूल	रहुल	रहूल
sakta	86	pilot_pool	सकता	सक्ता	साकता	सक्त
jai	84	pilot_pool	जाई	जई	जै	जाइ
di	83	pilot_pool	दी	दि	दीई	डि
saal	83	pilot_pool	साल	सॉल	शाल	सल
dekho	82	pilot_pool	देखो	देखों	डेखो	देको
jaa	81	pilot_pool	जा	ज़ा	जेए	ज
kaun	81	pilot_pool	कौन	कौं	काउन	कॉन
waise	81	pilot_pool	वैसे	वाइसे	वाइस	वाइज
ladki	80	pilot_pool	लड़की	लडकी	लड्की	लड़कि
sath	80	pilot_pool	साथ	सथ	सत	सठ
hue	78	override_list	हुए	हूए	हुई	हू
achha	77	pilot_pool	अछा	अच्छ	आछा	अछ
samajh	77	pilot_pool	समझ	समाझ	समझ्‌	संझ
thoda	76	pilot_pool	थोड़ा	थोडा	थोदा	ठोड़ा
bada	75	pilot_pool	बड़ा	बादा	बाडा	बदा
arvindkejriwal	74	pilot_pool	अरविंदकेजरीवाल	अरविन्दकेजरीवाल	अरविंदकेजरिवाल	अरविन्दकेजरिवाल
itni	74	pilot_pool	इतनी	इटनी	आईटीएनआई	आईटीनी
paas	74	pilot_pool	पास	पाँस	पांस	पस
aata	73	pilot_pool	आता	आटा	आत	आट
bana	73	pilot_pool	बना	बाना	बाणा	बन
matlab	73	pilot_pool	मतलब	मतलाब	मातलब	मत्लब
bjp	72	pilot_pool	बीजेपी	बिजेपी	वीजेपी	भीजेपी
ja	72	pilot_pool	जा	ज	जेए	ज्‌
jeet	72	pilot_pool	जीत	जित	जीट	जेट
aage	71	pilot_pool	आगे	आगें	अगे	आग
jaise	71	pilot_pool	जैसे	जयसे	जेसे	जेस
pyaar	71	pilot_pool	प्यार	पयार	प्यार्‌	पियार
kr	71	override_list	कर	कोर	कर्‌	क्र
dete	70	pilot_pool	देते	डेटे	डेते	देटे
tumhe	70	pilot_pool	तुम्हे	तुमहे	तूम्हे	टुम्हे
aapke	69	pilot_pool	आपके	आपकें	आप्के	अपके
teri	69	pilot_pool	तेरी	टेरी	तेरि	तेरीं
uske	69	pilot_pool	उसके	उस्के	ऊसके	उसकें
yaha	69	pilot_pool	याहा	यहा	यह	याह
maa	68	pilot_pool	मा	माँ	म	म्‌
apna	67	pilot_pool	अपना	आपना	अप्ना	अपनां
gayee	67	pilot_pool	गयी	गई	गाई	गाइ
kha	66	pilot_pool	खा	ख	ख़ा	ख्‌
nai	66	pilot_pool	नई	नाई	नाइ	नै
tripletalaq	66	pilot_pool	ट्रिपलतलक	त्रिपलेतलक	ट्रिपलतालक	ट्रिपलतलक़
duniya	65	pilot_pool	दुनिया	दूनिया	दुनियाँ	दनिया
jnu	65	pilot_pool	जेएनयू	जनू	जनु	जनूं
twinitisha	65	pilot_pool	ट्विनिटिशा	ट्विनिटीशा	ट्विनीटिशा	ट्विनिटिश
aaye	64	pilot_pool	आये	आए	आई	आय
dono	64	pilot_pool	डोनो	दोनों	दोनो	डोनों
haath	64	pilot_pool	हाथ	हाठ	हात	हाँठ
hamesha	63	pilot_pool	हमेशा	हंमेशा	हमेषा	हमेश
jata	63	pilot_pool	जाता	जता	जाटा	जटा
band	63	override_list	बंद	बांद	बांड	बन्द
hogi	62	pilot_pool	होगी	होगि	हॉगी	हौगी
kyun	62	pilot_pool	क्यून	क्यूँ	क्यूं	क्युन
aati	61	pilot_pool	आती	आति	आटी	आटि
gya	61	pilot_pool	ग्या	ज्ञ	ग्य	गय
iamgunjangrunge	61	pilot_pool	इयामगुंजांगरुंगे	इमगुंजांगरुंगे	ईमगुंजांगरुंगे	इयामगुंजांगरुंज
ni	61	override_list	नी	नि	नाई	नीं
hui	60	pilot_pool	हुई	हुइ	हूई	हूइ
sakte	60	pilot_pool	सकते	सक्ते	साकते	सकतें
chuka	59	pilot_pool	चुका	चूका	चुक	छुका
kyaukhaadlega	58	pilot_pool	क्यौखादलेगा	क्यौखाद्लेगा	क्यौखाड़लेगा	क्याउखादलेगा
lete	58	pilot_pool	लेते	लेटे	लीट	लेट
logon	58	pilot_pool	लोगों	लोगोन	लॉगों	लोगो
notebandi	58	pilot_pool	नोटबंदी	नोटबन्दी	नोटेबंदी	नोटबन्दि
chhod	57	pilot_pool	छोड़	छोड	छोद	छौड़
kare	57	pilot_pool	करे	कारे	करें	कैरे
subah	57	pilot_pool	सुबह	सुबाह	सूबाह	सुबा
aate	56	pilot_pool	आते	आटे	आतें	अते
defucktivehumor	56	pilot_pool	डिफक्टिवह्यूमोर	डिफक्टिवह्यूमर	डिफक्टिवह्युमोर	डीफक्टिवह्यूमोर
hamare	56	pilot_pool	हमारे	हमरे	हामारे	हामरे
khatam	56	pilot_pool	खतम	खातम	खतम्‌	खटम
nahin	56	pilot_pool	नहीं	नाहिन	नाहीं	नहिं
tumne	56	pilot_pool	तुमने	तुम्ने	टुमने	टमने
aapne	55	pilot_pool	आपने	अपने	आपनें	आपणे
bohot	55	pilot_pool	बोहोत	बोहोट	बहोत	बोहट
chalo	55	pilot_pool	चलो	चालो	चलों	छलो
indvssa	55	pilot_pool	इंडवासा	इंडव्सा	इंडवसा	इंडवस्सा
jaan	55	pilot_pool	जान	जाँ	जां	जाण
jao	55	pilot_pool	जाओ	जो	जाउ	जओ
bhar	54	pilot_pool	भर	भार	भर्‌	बहर
dena	54	pilot_pool	देना	डेना	डीना	देनां
kitne	54	pilot_pool	कितने	किटने	कीटने	कित्ने
lekin	54	pilot_pool	लेकिन	लैकिन	लेकिंग	लेकीन
bahar	53	pilot_pool	बाहर	बहर	बहार	भाहर
magar	53	pilot_pool	मगर	मागर	मगार	मागार
nikal	53	pilot_pool	निकल	निकाल	नीकल	निकल्‌
sharma	53	pilot_pool	शर्मा	शरमा	शारमा	शर्म
walo	53	pilot_pool	वालो	वलो	वेलो	वॉलो
aajkal	52	pilot_pool	आजकल	आजकाल	आज्कल	अजकल
aane	52	pilot_pool	आने	आनें	आणे	अने
aisi	52	pilot_pool	ऐसी	आइसी	आईसी	आईसीआई
baap	52	pilot_pool	बाप	बॉप	बैप	बाप्‌
itne	52	pilot_pool	इतने	इटने	इत्ने	इतनें
sach	52	pilot_pool	सच	साच	सैच	साक
usse	52	pilot_pool	उस्से	उसे	उससे	उस्सें
your	52	pilot_pool	यूर	योर	यौर	युर
aapko	51	pilot_pool	आपको	आपकों	आप्को	अपको
arre	51	pilot_pool	अर्रे	अरे	आर्रे	अर्र
dekha	51	pilot_pool	देखा	देख	डेखा	देखे
gurmeetramrahim	51	pilot_pool	गुरमीत्रमरहिम	गुरमीत्रमरहीम	गुरमीतरामरहिम	गुरुमीत्रमरहिम
hathwalathakur	51	pilot_pool	हथवालाठाकुर	हथवालाठाकूर	हाथवालाठाकुर	हथवलाठाकुर
khush	51	pilot_pool	खुश	ख़ुश	खूश	खुश्‌
shuru	51	pilot_pool	शुरू	शुरु	शूरू	शूरु
chale	50	pilot_pool	चले	चाले	छाले	छले
rakha	50	pilot_pool	रखा	राखा	रख	राख
aapki	49	pilot_pool	आपकी	आपकि	आप्की	अपकी
bina	49	pilot_pool	बिना	बीना	बिन	बीन
cheez	49	pilot_pool	चीज	चीज़	चीझ	चिज
daaru	49	pilot_pool	दारू	दारु	डारू	डारु
jaldi	49	pilot_pool	जल्दी	जलदी	जल्दि	जालदी
kuchh	49	pilot_pool	कुछ	कूछ	कच्छ	कछ
hogaya	48	pilot_pool	होगया	होगाया	होग्या	होगय
karke	48	pilot_pool	करके	कारके	कर्के	करकें
kohli	48	pilot_pool	कोहली	कोह्ली	कोली	कोहलि
muh	48	pilot_pool	मुह	मुँह	मूह	मह
aao	47	pilot_pool	आओ	एएओ	अओ	एओ
deta	47	pilot_pool	देता	डेटा	देटा	देतां
gaali	47	pilot_pool	गाली	गालि	ग़ाली	गली
galat	47	pilot_pool	गलत	गालत	ग़लत	गलात
isse	47	pilot_pool	इस्से	इसे	ईस्से	इस्स
uska	47	pilot_pool	उसका	उस्का	ऊसका	उस्के
haar	46	pilot_pool	हार	हर	हार्‌	हॉर
janta	46	pilot_pool	जनता	जानता	जन्ता	जंता
jaye	46	pilot_pool	जाए	जाये	जये	जय
khushi	46	pilot_pool	खुशी	ख़ुशी	खूशी	खुशि
kitna	46	pilot_pool	कितना	किटना	कीटना	कित्ना
mila	46	pilot_pool	मिला	मीला	मिल	माइला
soch	46	pilot_pool	सोच	सौच	सॉच	शोच
saare	45	pilot_pool	सारे	सारें	सरे	सार
they	45	pilot_pool	थे	थेय	ठे	ठेय
zindagi	45	pilot_pool	जिंदगी	ज़िंदगी	ज़िन्दगी	जिन्दगी
bilkul	44	pilot_pool	बिल्कुल	बिलकुल	बिलकूल	बीलकुल
bolshoybooze	44	pilot_pool	बोलशोयबूज़े	बोलशॉयबूज	बोलशॉयबूज़	बॉलशॉयबूज़
hona	44	pilot_pool	होना	होणा	होन	होण
naa	44	pilot_pool	ना	न	ऩा	नाँ
tumhara	44	pilot_pool	तुम्हरा	तुमहारा	तुम्हार	तुमहरा
dishasatra	43	pilot_pool	दिशासत्र	दिशासत्रा	दिशासात्र	दिशसत्र
jaate	43	pilot_pool	जाते	जातें	जाटे	जते
jyada	43	pilot_pool	ज्यादा	ज्याडा	ज्याड़ा	ज्याद
kharab	43	pilot_pool	खराब	खरब	ख़रब	खारब
mata	43	pilot_pool	माता	माटा	मता	मटा
pasand	43	pilot_pool	पसंद	पसन्द	पासंद	पासंड
aadmi	42	pilot_pool	आदमी	आदमि	आद्मी	आद्मि
dene	42	pilot_pool	देने	डेने	डीन	देणे
tarah	42	pilot_pool	तरह	तराह	तारह	तारा
uski	42	pilot_pool	उसकी	उस्की	ऊसकी	उस्कि
yearofrat	42	pilot_pool	यीयरोफ्रैट	यियरोफ्रैट	यरोफ्रैट	येयरोफ्रैट
dekhne	41	pilot_pool	देखने	देखनें	देख्ने	देखणे
jaata	41	pilot_pool	जाता	जात	जाटा	जाट
jagah	41	pilot_pool	जगह	जगाह	जागह	जगह्‌
khana	41	pilot_pool	खाना	खना	खान	खन
nitish	41	pilot_pool	नीतीश	नितीश	नितिश	नीतिश
singh	41	pilot_pool	सिंह	सिंघ	सिंग	सिंध
aayega	40	pilot_pool	आएगा	आयेगा	आइएगा	आयगा
baaki	40	pilot_pool	बाकी	बाकि	बाखी	बकी
bhaijaan	40	pilot_pool	भाईजान	भैजान	भाइजान	भैजां
dekhna	40	pilot_pool	देखना	देखणा	देख्ना	डेखना
diwali	40	pilot_pool	दिवाली	दीवाली	दीवली	डिवाली
likha	40	pilot_pool	लिखा	लीखा	लिख	लिका
naya	40	pilot_pool	नया	नाया	नेया	नय
rha	40	pilot_pool	रहा	रह	राह	रह्‌
sabko	40	pilot_pool	सबको	साबको	सबकों	सब्को
sabse	40	pilot_pool	सबसे	साबसे	सब्से	सबसें
tumhari	40	pilot_pool	तुम्हारी	तुम्हरी	तुमहारी	तुमहरी
iske	39	pilot_pool	इसके	इस्के	ईसके	इसकें
lagi	39	pilot_pool	लगी	लागी	लगि	लागि
samaj	39	pilot_pool	समाज	समज	सामाज	सामज
suna	39	pilot_pool	सुना	सूना	सुन	सून
alag	38	pilot_pool	अलग	अलाग	अलग्‌	आलग
ap	38	pilot_pool	एपी	आप	एप	अप
bhaiya	38	pilot_pool	भैया	भइया	भाइया	भईया
diye	38	pilot_pool	दिये	दिए	डिए	डिये
jaati	38	pilot_pool	जाती	जाति	जातीं	जाटी
karti	38	pilot_pool	करती	कर्ती	कार्ति	कर्ति
khel	38	pilot_pool	खेल	खेल्‌	खैल	खल
pak	38	pilot_pool	पाक	पक	पैक	पक्‌
virat	38	pilot_pool	विराट	विरत	वीरत	विरात
vo	38	pilot_pool	वो	वीओ	वों	व्‌
waqt	38	pilot_pool	वक्त	वक़्त	वकत	वक़त
badi	37	pilot_pool	बड़ी	बादी	बडी	बाडी
baje	37	pilot_pool	बजे	बाजे	बजें	बेज
chala	37	pilot_pool	चला	चाला	छाला	छला
jaane	37	pilot_pool	जाने	जानें	जाणे	ज़ाने
maza	37	pilot_pool	मज़ा	मजा	माज़ा	माजा
modiji	37	pilot_pool	मोदीजी	मोदिजी	मौदीजी	मोडीजी
saari	37	pilot_pool	सारी	सारि	सारे	सरी
shaam	37	pilot_pool	शाम	षाम	साम	शम
achhi	36	pilot_pool	अछि	अछी	आछी	अछीं
holi	36	pilot_pool	होली	होलि	हॉली	हौली
jayega	36	pilot_pool	जाएगा	जायेगा	जयेगा	जएगा
lage	36	pilot_pool	लगे	लागे	लगें	लेज
aana	35	pilot_pool	आना	आणा	आन	अना
abe	35	pilot_pool	अबे	आबे	एबीई	अबें
baki	35	pilot_pool	बाकी	बकी	बाकि	बकि
daal	35	pilot_pool	डाल	दाल	ड़ाल	डॉल
dost	35	pilot_pool	दोस्त	डोस्ट	दस्त	डॉस्ट
jaaye	35	pilot_pool	जाए	जाये	जाएँ	जाएं
karega	35	pilot_pool	करेगा	कारेगा	करेग	करीगा
padega	35	pilot_pool	पड़ेगा	पडेगा	पदेगा	पड़ेगे
zara	35	pilot_pool	ज़रा	जरा	जारा	ज़ार
acha	34	pilot_pool	अचा	आचा	अछा	अच
batao	34	pilot_pool	बताओ	बटाओ	बताओं	बाटाओ
dilli	34	pilot_pool	दिल्ली	डिल्ली	दिली	डिली
honge	34	pilot_pool	होंगे	हौंगे	होंग	हॉन्ज
isiliye	34	pilot_pool	इसीलिए	इसिलिए	इसिलिये	इसीलिये
rhe	34	pilot_pool	रहे	र्हे	रेह	रह
roz	34	pilot_pool	रोज	रोज़	रॉज	रोझ
upar	34	pilot_pool	उपर	ऊपर	उपार	उपर्‌
waah	34	pilot_pool	वाह	वाँह	वह	वाः
wapas	34	pilot_pool	वापस	वापास	वापा	वेपास
bhagwan	33	pilot_pool	भगवान	भागवान	भगवां	भगवन
galti	33	pilot_pool	गलती	गल्ती	गाल्टी	गल्टी
jana	33	pilot_pool	जाना	जना	जान	जन
kaafi	33	pilot_pool	काफी	काफि	कॉफी	कफी
ladkiyon	33	pilot_pool	लड़कियों	लडकियों	लड्कियों	लड़कियो
nitishkanaklivikas	33	pilot_pool	नितिष्कनकलिविकास	नीतिष्कनकलिविकास	नीतिशकनकलिविकास	नितीशकनकलिविकास
rahulgandhi	33	pilot_pool	राहुलगांधी	राहुलगंधी	राहूलगांधी	राहुलगांधि
wahi	33	pilot_pool	वही	वाही	वाहि	वहि
warna	33	pilot_pool	वरना	वारना	वार्ना	वर्णा
andar	32	pilot_pool	अंदर	अन्दर	अंदार	अंडार
bolta	32	pilot_pool	बोलता	बोल्टा	बोल्ता	बोलटा
bolte	32	pilot_pool	बोलते	बोल्ते	बोल्टे	बोलटे
iska	32	pilot_pool	इसका	इस्का	ईस्का	इस्के
kahin	32	pilot_pool	कहीं	कहिन	कहिं	काहिन
karenge	32	pilot_pool	करेंगे	करेंगें	करेगे	करेगें
kiye	32	pilot_pool	किये	किए	कीये	कीए
leke	32	pilot_pool	लेके	लीक	लेक	लैके
padta	32	pilot_pool	पड़ता	पाड़ता	पडता	पदता
sahab	32	pilot_pool	साहब	सहाब	सहब	शाहब
zaroor	32	pilot_pool	ज़रूर	जरूर	ज़रुर	ज़ारूर
aapka	31	pilot_pool	आपका	आप्का	अपका	आपक
beti	31	pilot_pool	बेटी	बेती	बेटि	बेटीं
bhabhi	31	pilot_pool	भाभी	भभी	भाभि	भभि
haal	31	pilot_pool	हाल	हाल्‌	हॉल	हल
kahi	31	pilot_pool	कही	काही	कहि	काहि
lene	31	pilot_pool	लेने	लीन	लेन	लिन
mauka	31	pilot_pool	मौका	मोका	मौक	मऊका
pagal	31	pilot_pool	पागल	पगल	पगाल	पैगल
shakal	31	pilot_pool	शकल	शाकल	शकाल	शाकाल
tumko	31	pilot_pool	तुमको	तुम्को	टुमको	टुम्को
achcha	30	pilot_pool	अच्छ	अच्च	अछा	अचा
bacha	30	pilot_pool	बचा	बाचा	बाछा	बच
bhej	30	pilot_pool	भेज	बेज	भज	बहेज
bhool	30	pilot_pool	भूल	भुल	बूल	भोल
dimaag	30	pilot_pool	दिमाग	दीमाग	डिमाग	दमाग
isko	30	pilot_pool	इसको	इस्को	ईस्को	इसकों
jate	30	pilot_pool	जाते	जते	जटे	जेट
mana	30	pilot_pool	माना	मना	माणा	मन
officeofrg	30	pilot_pool	आफीसॉफ़र्ग	आफिसअफ़र्ग	आफीसॉफर्ग	आफीसओफ्र्ग
poojamissra	30	pilot_pool	पूजामिस्र	पूजामिसरा	पूजामिश्र	पूजामिस्रा
rehta	30	pilot_pool	रहता	रेहता	रेहटा	रहटा
roflaala	30	pilot_pool	रोफलाला	रोफलाल	रोफ़लाल	रॉफलाला
bandh	29	pilot_pool	बांध	बंध	बन्ध	बाँध
behen	29	pilot_pool	बेहें	बहन	बहें	बेहन
bolne	29	pilot_pool	बोलने	बोल्ने	बोलनें	बॉलने
chalta	29	pilot_pool	चलता	चालता	चाल्टा	चालटा
chalu	29	pilot_pool	चालू	चलू	चालु	चलु
kitanurag	29	pilot_pool	कीटाणुराग	कीटानुराग	कितानुराग	किटाणुराग
kitni	29	pilot_pool	कितनी	किटनी	कित्नी	कीटनी
milta	29	pilot_pool	मिलता	मिल्टा	मिल्ता	मिलटा
paani	29	pilot_pool	पानी	पाणी	पाणि	पानि
pahle	29	pilot_pool	पहले	पाहले	पहलें	पह्ले
taraf	29	pilot_pool	तरफ	तरफ़	तराफ	तारफ
tweeterrant	29	pilot_pool	ट्वीटरेंट	ट्विटरेंट	ट्वीटेरेंट	ट्वीटरंट
unhe	29	pilot_pool	उन्हे	ऊन्हे	उनहे	ऊंहे
insaan	28	pilot_pool	इंसान	इन्सान	इनसान	इंसां
ise	28	pilot_pool	इसे	आईएसई	आइएसई	ईसे
kapoor	28	pilot_pool	कपूर	कापूर	कापुर	कपुर
karwa	28	pilot_pool	करवा	कारवा	कर्वा	करवां
ladke	28	pilot_pool	लड़के	लडके	लाड़के	लादके
lekar	28	pilot_pool	लेकर	लेकार	लीकर	लैकर
leta	28	pilot_pool	लेता	लेटा	लीटा	लेट
padh	28	pilot_pool	पढ़	पढ	पध	पढ्‌
pura	28	pilot_pool	पूरा	पुरा	पुर	पूर
thodi	28	pilot_pool	थोड़ी	थोडी	ठोड़ी	थोदी
yehi	28	pilot_pool	येही	यही	येहि	एही
badal	27	pilot_pool	बदल	बादल	बदाल	बडाल
biwi	27	pilot_pool	बीवी	बिवी	बिवि	बीवि
chai	27	pilot_pool	चाई	चै	चाइ	चई
hamari	27	pilot_pool	हमारी	हमरी	हमारि	हामरी
iski	27	pilot_pool	इसकी	इस्की	इस्कि	इस्काई
mahine	27	pilot_pool	महीने	महिने	माहिने	माहीने
nazar	27	pilot_pool	नज़र	नज़ार	नजार	नाज़र
om	27	pilot_pool	ओम	ओएम	ओम्‌	ओं
wohi	27	pilot_pool	वोही	वोहि	वही	वॉही
achhe	26	pilot_pool	अछे	अच्छे	अछें	आछे
baare	26	pilot_pool	बारे	बारें	बरे	वारे
baatein	26	pilot_pool	बातें	बाटें	बातेँ	बातैं
bajrangi	26	pilot_pool	बजरंगी	बाजरंगी	बजरांगी	बजरंगीं
chup	26	pilot_pool	चुप	छुप	चूप	चप
inhe	26	pilot_pool	इन्हे	इंहे	ईन्हे	इनहे
jaisa	26	pilot_pool	जैसा	जेसा	जाइसा	जयसा
likh	26	pilot_pool	लिख	लीख	लिख्‌	लिक
poora	26	pilot_pool	पूरा	पुरा	पूर	पोरा
rakh	26	pilot_pool	रख	राख	रख्‌	रख़
sare	26	pilot_pool	सारे	सरे	सेर	सैर
usko	26	pilot_pool	उसको	उस्को	उसकों	उस्कों
yar	26	pilot_pool	यार	यर	यार्‌	येर
guessthesong	25	pilot_pool	गुएसस्थेसोंग	गेस्थेसोंग	गुएस्स्थेसोंग	गेस्थेसांग
gye	25	pilot_pool	ग्ये	गये	गे	गेय
jahan	25	pilot_pool	जहां	जहान	जहन	जहाँ
kasam	25	pilot_pool	कसम	कासम	कसाम	कस्म
khane	25	pilot_pool	खाने	खने	खाणे	खणे
krte	25	pilot_pool	करते	कर्ते	कृते	करतें
maaf	25	pilot_pool	माफ	माफ़	मॉफ	मफ
