token	freq	cumulative_pct_at_this_point
yahan	87	34.377
rahul	86	34.494
sakta	86	34.612
we	86	34.73
jai	84	34.845
di	83	34.959
saal	83	35.073
dekho	82	35.185
jaa	81	35.296
kaun	81	35.407
waise	81	35.518
ladki	80	35.627
sath	80	35.737
achha	77	35.842
samajh	77	35.948
thoda	76	36.052
bada	75	36.155
arvindkejriwal	74	36.256
itni	74	36.357
paas	74	36.459
aata	73	36.559
bana	73	36.659
matlab	73	36.759
bjp	72	36.857
ja	72	36.956
jeet	72	37.055
aage	71	37.152
jaise	71	37.249
pyaar	71	37.346
dete	70	37.442
tumhe	70	37.538
aapke	69	37.633
teri	69	37.727
uske	69	37.822
yaha	69	37.916
maa	68	38.009
apna	67	38.101
gayee	67	38.193
if	66	38.283
kha	66	38.374
nai	66	38.464
tripletalaq	66	38.555
duniya	65	38.644
jnu	65	38.733
twinitisha	65	38.822
aaye	64	38.909
dono	64	38.997
haath	64	39.085
hamesha	63	39.171
jata	63	39.257
hahaha	62	39.342
hogi	62	39.427
kyun	62	39.512
aati	61	39.596
gya	61	39.679
iamgunjangrunge	61	39.763
what	61	39.846
hui	60	39.928
sakte	60	40.011
chuka	59	40.092
indiantweeter	59	40.172
kyaukhaadlega	58	40.252
lete	58	40.331
logon	58	40.411
notebandi	58	40.49
chhod	57	40.568
haha	57	40.646
kare	57	40.724
subah	57	40.802
aate	56	40.879
akshaykanitkar	56	40.956
defucktivehumor	56	41.033
hamare	56	41.109
khatam	56	41.186
nahin	56	41.263
retardedwriter	56	41.339
tumne	56	41.416
aapne	55	41.491
bohot	55	41.567
chalo	55	41.642
indvssa	55	41.717
jaan	55	41.793
jao	55	41.868
bhar	54	41.942
dena	54	42.016
kitne	54	42.09
lekin	54	42.164
bahar	53	42.237
magar	53	42.309
nikal	53	42.382
sharma	53	42.454
walo	53	42.527
aajkal	52	42.598
aane	52	42.669
aisi	52	42.741
baap	52	42.812
itne	52	42.883
jio	52	42.954
sach	52	43.026
usse	52	43.097
your	52	43.168
aapko	51	43.238
arre	51	43.308
dekha	51	43.378
gurmeetramrahim	51	43.448
hathwalathakur	51	43.517
khush	51	43.587
shuru	51	43.657
chale	50	43.726
rakha	50	43.794
aapki	49	43.861
bina	49	43.928
cheez	49	43.995
daaru	49	44.063
jaldi	49	44.13
kuchh	49	44.197
hogaya	48	44.263
karke	48	44.328
kohli	48	44.394
muh	48	44.46
aao	47	44.524
deta	47	44.589
gaali	47	44.653
galat	47	44.717
isse	47	44.782
uska	47	44.846
witchybitchygal	47	44.91
haar	46	44.973
janta	46	45.037
jaye	46	45.1
khushi	46	45.163
kitna	46	45.226
mila	46	45.289
soch	46	45.352
when	46	45.415
saare	45	45.476
they	45	45.538
zindagi	45	45.599
bilkul	44	45.66
bolshoybooze	44	45.72
hona	44	45.78
naa	44	45.841
tumhara	44	45.901
dishasatra	43	45.96
jaate	43	46.019
jyada	43	46.078
kharab	43	46.136
mata	43	46.195
pasand	43	46.254
aadmi	42	46.312
dene	42	46.369
tarah	42	46.427
uski	42	46.484
yearofrat	42	46.542
dekhne	41	46.598
jaata	41	46.654
jagah	41	46.71
khana	41	46.767
nitish	41	46.823
singh	41	46.879
aayega	40	46.934
baaki	40	46.988
bhaijaan	40	47.043
dekhna	40	47.098
diwali	40	47.153
his	40	47.208
how	40	47.262
likha	40	47.317
naya	40	47.372
rha	40	47.427
sabko	40	47.482
sabse	40	47.536
tumhari	40	47.591
iske	39	47.645
lagi	39	47.698
pls	39	47.751
samaj	39	47.805
suna	39	47.858
alag	38	47.91
ap	38	47.962
bhaiya	38	48.014
diye	38	48.067
hey	38	48.119
jaati	38	48.171
karti	38	48.223
khel	38	48.275
pak	38	48.327
plz	38	48.379
virat	38	48.431
vo	38	48.483
waqt	38	48.535
badi	37	48.586
baje	37	48.636
chala	37	48.687
jaane	37	48.738
maza	37	48.788
modiji	37	48.839
saari	37	48.89
shaam	37	48.94
achhi	36	48.99
him	36	49.039
holi	36	49.088
jayega	36	49.138
lage	36	49.187
aana	35	49.235
abe	35	49.283
baki	35	49.331
daal	35	49.379
dost	35	49.427
jaaye	35	49.475
karega	35	49.523
padega	35	49.571
zara	35	49.619
acha	34	49.665
batao	34	49.712
dilli	34	49.758
honge	34	49.805
isiliye	34	49.851
rhe	34	49.898
roz	34	49.945
she	34	49.991
upar	34	50.038
waah	34	50.084
wapas	34	50.131
bhagwan	33	50.176
coolfunnytshirt	33	50.221
galti	33	50.266
her	33	50.312
jana	33	50.357
kaafi	33	50.402
ladkiyon	33	50.447
nitishkanaklivikas	33	50.492
rahulgandhi	33	50.538
wahi	33	50.583
warna	33	50.628
andar	32	50.672
bolta	32	50.716
bolte	32	50.76
iska	32	50.803
kahin	32	50.847
karenge	32	50.891
kiye	32	50.935
leke	32	50.979
our	32	51.023
padta	32	51.066
sahab	32	51.11
zaroor	32	51.154
aapka	31	51.197
beti	31	51.239
bhabhi	31	51.281
haal	31	51.324
kahi	31	51.366
lene	31	51.409
mario	31	51.451
mauka	31	51.494
pagal	31	51.536
shakal	31	51.579
tumko	31	51.621
achcha	30	51.662
arvind	30	51.703
bacha	30	51.744
bhej	30	51.786
bhool	30	51.827
dimaag	30	51.868
isko	30	51.909
jate	30	51.95
mana	30	51.991
officeofrg	30	52.032
poojamissra	30	52.073
rehta	30	52.114
roflaala	30	52.155
bandh	29	52.195
behen	29	52.235
bolne	29	52.275
chalta	29	52.314
chalu	29	52.354
kitanurag	29	52.394
kitni	29	52.433
milta	29	52.473
paani	29	52.513
pahle	29	52.553
taraf	29	52.592
tweeterrant	29	52.632
unhe	29	52.672
insaan	28	52.71
ise	28	52.749
kapoor	28	52.787
karwa	28	52.825
ladke	28	52.864
lekar	28	52.902
leta	28	52.94
padh	28	52.979
pura	28	53.017
thodi	28	53.055
yehi	28	53.094
badal	27	53.131
biwi	27	53.168
chai	27	53.205
hamari	27	53.242
iski	27	53.279
mahine	27	53.316
nazar	27	53.353
om	27	53.39
puri	27	53.427
wohi	27	53.464
achhe	26	53.499
against	26	53.535
baare	26	53.57
baatein	26	53.606
bajrangi	26	53.642
chup	26	53.677
inhe	26	53.713
jaisa	26	53.748
likh	26	53.784
poora	26	53.82
rakh	26	53.855
sare	26	53.891
than	26	53.927
usko	26	53.962
yar	26	53.998
guessthesong	25	54.032
gye	25	54.066
jahan	25	54.101
kasam	25	54.135
khane	25	54.169
krte	25	54.203
kumar	25	54.237
maaf	25	54.272
mili	25	54.306
neend	25	54.34
reh	25	54.374
rohit	25	54.409
should	25	54.443
socha	25	54.477
wahan	25	54.511
aaja	24	54.544
aam	24	54.577
achche	24	54.61
bachpan	24	54.643
gaadi	24	54.676
hoon	24	54.709
jayegi	24	54.742
kehte	24	54.774
krne	24	54.807
raho	24	54.84
sarkaar	24	54.873
sonia	24	54.906
whereisrahul	24	54.939
apko	23	54.97
app	23	55.002
because	23	55.033
chali	23	55.065
dekhte	23	55.096
denge	23	55.128
deti	23	55.159
farzipatrakarravishkumar	23	55.191
gonna	23	55.222
izzat	23	55.254
keh	23	55.285
milte	23	55.317
mujhse	23	55.348
paaji	23	55.38
per	23	55.411
prabhu	23	55.443
sabhi	23	55.474
sallu	23	55.506
sarkar	23	55.537
walon	23	55.569
baj	22	55.599
balliawalebaba	22	55.629
banaya	22	55.659
dar	22	55.689
gyi	22	55.72
hamara	22	55.75
hogayi	22	55.78
imvkohli	22	55.81
isme	22	55.84
jaega	22	55.87
jaisi	22	55.9
kyunki	22	55.931
mahadev	22	55.961
mannkibaat	22	55.991
milti	22	56.021
pakka	22	56.051
peeche	22	56.081
peene	22	56.111
poori	22	56.142
sachin	22	56.172
sar	22	56.202
scratchysingh	22	56.232
singhlicious	22	56.262
these	22	56.292
thik	22	56.322
unke	22	56.352
via	22	56.383
where	22	56.413
zaroorat	22	56.443
zoomphatak	22	56.473
aanchalator	21	56.502
aapse	21	56.531
aayi	21	56.559
advancedmaushi	21	56.588
badhai	21	56.617
badliyesarkarbadliyebihar	21	56.646
banane	21	56.674
bhaiyyajispeaks	21	56.703
chahe	21	56.732
daru	21	56.761
dila	21	56.789
huee	21	56.818
indvsaus	21	56.847
jee	21	56.876
jita	21	56.905
kara	21	56.933
ladkiya	21	56.962
ladkiyo	21	56.991
manmohansingh	21	57.02
rahega	21	57.048
rehte	21	57.077
runjhunmehrotra	21	57.106
sagarcasm	21	57.135
whatsapp	21	57.163
would	21	57.192
youtube	21	57.221
zaroori	21	57.25
aye	20	57.277
bhagwaan	20	57.304
bizzarebhide	20	57.332
bunlimted	20	57.359
chalega	20	57.387
chor	20	57.414
gaaliya	20	57.441
gareeb	20	57.469
ghanta	20	57.496
goodbyenitishkumar	20	57.524
humne	20	57.551
inke	20	57.578
inko	20	57.606
isliye	20	57.633
kaat	20	57.661
karni	20	57.688
kon	20	57.715
pade	20	57.743
padi	20	57.77
puch	20	57.798
rhi	20	57.825
rowdytalks	20	57.852
ruchikokcha	20	57.88
saamne	20	57.907
shayad	20	57.935
tabhi	20	57.962
thode	20	57.989
usne	20	58.017
aagaya	19	58.043
aansu	19	58.069
arunjaitley	19	58.095
aya	19	58.121
dekhi	19	58.147
dimag	19	58.173
dont	19	58.199
dosti	19	58.225
emo	19	58.251
ghante	19	58.277
govt	19	58.303
hardik	19	58.329
jane	19	58.355
kaisa	19	58.381
karoge	19	58.407
khaane	19	58.433
kyon	19	58.459
lagti	19	58.485
maan	19	58.511
makeinindia	19	58.537
mohit	19	58.563
namah	19	58.589
ndtv	19	58.615
pehli	19	58.641
priyancabajaj	19	58.667
saaf	19	58.693
unko	19	58.72
badh	18	58.744
baith	18	58.769
bakwaas	18	58.793
banaye	18	58.818
beingsalmankhan	18	58.843
bhakt	18	58.867
chahte	18	58.892
darr	18	58.917
hadh	18	58.941
hahahaha	18	58.966
honi	18	58.991
iit	18	59.015
ipl	18	59.04
jaana	18	59.065
jaegi	18	59.089
kaisi	18	59.114
karan	18	59.139
kisne	18	59.163
ladka	18	59.188
nitishkachehradiveshsehra	18	59.213
pmoindia	18	59.237
roti	18	59.262
shaan	18	59.287
shadi	18	59.311
shukriya	18	59.336
tumse	18	59.361
umar	18	59.385
unka	18	59.41
aankh	17	59.433
aayegi	17	59.456
aj	17	59.48
amit	17	59.503
anushka	17	59.526
badhiya	17	59.55
bhul	17	59.573
biharkajaichandshatrughan	17	59.596
bolna	17	59.619
dikha	17	59.643
drpoonam	17	59.666
du	17	59.689
eid	17	59.713
gayab	17	59.736
huwe	17	59.759
khade	17	59.782
khoon	17	59.806
lalu	17	59.829
lenge	17	59.852
leti	17	59.876
sambhal	17	59.899
those	17	59.922
unki	17	59.945
usi	17	59.969
waale	17	59.992
waha	17	60.015
wajah	17	60.039
apki	16	60.061
arey	16	60.082
awaaz	16	60.104
baitha	16	60.126
chaiye	16	60.148
chhota	16	60.17
chori	16	60.192
chuke	16	60.214
chuki	16	60.236
dino	16	60.258
haaye	16	60.28
hadd	16	60.302
haramiparindey	16	60.324
hath	16	60.345
humko	16	60.367
incindia	16	60.389
ishq	16	60.411
kaash	16	60.433
kai	16	60.455
kajubadamchor	16	60.477
kamaal	16	60.499
kardo	16	60.521
karu	16	60.543
kidhar	16	60.565
maal	16	60.587
milega	16	60.608
msdhoni	16	60.63
mushkil	16	60.652
oinkoo	16	60.674
padhai	16	60.696
pappu	16	60.718
poore	16	60.74
rahulonleave	16	60.762
saara	16	60.784
samjha	16	60.806
sardesairajdeep	16	60.828
sayshardik	16	60.85
srbachchan	16	60.871
ttrinadasgupta	16	60.893
utha	16	60.915
aadat	15	60.936
aajtak	15	60.956
aakhir	15	60.977
aankhon	15	60.997
aansoo	15	61.018
acche	15	61.039
apka	15	61.059
asli	15	61.08
babafirki	15	61.1
bhaiyya	15	61.121
bloodykamina	15	61.141
bro	15	61.162
delhismog	15	61.182
dikh	15	61.203
dusre	15	61.224
engineeroholic	15	61.244
gabbbarsingh	15	61.265
hashtag	15	61.285
humare	15	61.306
huwa	15	61.326
jawab	15	61.347
jisne	15	61.367
kachua	15	61.388
kamal	15	61.408
kay	15	61.429
khabar	15	61.45
khayal	15	61.47
khuda	15	61.491
kia	15	61.511
ledtvn	15	61.532
maam	15	61.552
maang	15	61.573
naye	15	61.593
neeche	15	61.614
obama	15	61.634
omg	15	61.655
pada	15	61.676
samne	15	61.696
shri	15	61.717
sureshpprabhu	15	61.737
thand	15	61.758
tujhse	15	61.778
vikas	15	61.799
wah	15	61.819
zinda	15	61.84
aayee	14	61.859
angryoungwoman	14	61.878
ashutosh	14	61.897
baithe	14	61.917
bete	14	61.936
chacha	14	61.955
chakkar	14	61.974
dega	14	61.993
dekhta	14	62.013
didi	14	62.032
dijiye	14	62.051
gaaliyan	14	62.07
gai	14	62.089
ghatiya	14	62.108
isne	14	62.128
jhasanjay	14	62.147
jitna	14	62.166
kamaalrkhan	14	62.185
khelne	14	62.204
kisko	14	62.223
klpe	14	62.243
kutta	14	62.262
mazaak	14	62.281
melotus	14	62.3
milna	14	62.319
nickhunterr	14	62.339
oye	14	62.358
padegi	14	62.377
pareshan	14	62.396
pati	14	62.415
pta	14	62.434
rakho	14	62.454
ruk	14	62.473
saala	14	62.492
seedha	14	62.511
since	14	62.53
sirji	14	62.549
srk	14	62.569
suresh	14	62.588
tym	14	62.607
udhaar	14	62.626
aag	13	62.644
abi	13	62.662
agle	13	62.68
angrezi	13	62.697
bachche	13	62.715
badiya	13	62.733
banne	13	62.751
barkha	13	62.769
bharosa	13	62.786
bht	13	62.804
chaar	13	62.822
chatpatidiary	13	62.84
chutti	13	62.858
dhoka	13	62.875
dukaan	13	62.893
gaane	13	62.911
hamein	13	62.929
hitennarendra	13	62.947
idhar	13	62.965
im	13	62.982
indvsban	13	63.0
inki	13	63.018
issi	13	63.036
jal	13	63.054
janam	13	63.071
kanhaiya	13	63.089
kaunsa	13	63.107
khas	13	63.125
khoob	13	63.143
krna	13	63.16
kyo	13	63.178
mehnat	13	63.196
mildlyclassic	13	63.214
pani	13	63.232
pvsindhu	13	63.249
rakhna	13	63.267
saab	13	63.285
samjh	13	63.303
thevacuumhead	13	63.321
vishwas	13	63.338
wanna	13	63.356
yadav	13	63.374
yahin	13	63.392
aankhein	12	63.408
aayenge	12	63.425
afridi	12	63.441
ajeeb	12	63.458
anyone	12	63.474
baate	12	63.491
bahaar	12	63.507
bahane	12	63.523
bahu	12	63.54
baloch	12	63.556
banda	12	63.573
bech	12	63.589
bhaijan	12	63.606
bhopal	12	63.622
bulaya	12	63.638
byomkesbakshi	12	63.655
chand	12	63.671
chauka	12	63.688
chhodo	12	63.704
daant	12	63.721
dekhe	12	63.737
delhipollution	12	63.754
dhawan	12	63.77
dho	12	63.786
dr	12	63.803
dunga	12	63.819
fb	12	63.836
hasi	12	63.852
hein	12	63.869
iamsrk	12	63.885
jarur	12	63.901
jarurat	12	63.918
jayenge	12	63.934
karlo	12	63.951
kaunsi	12	63.967
kejri	12	63.984
kharaab	12	64.0
khol	12	64.017
kiske	12	64.033
koshish	12	64.049
kro	12	64.066
krta	12	64.082
krti	12	64.099
ladkiyan	12	64.115
ladko	12	64.132
laggayivaat	12	64.148
lal	12	64.164
layak	12	64.181
lokarlounfollow	12	64.197
mene	12	64.214
mohitparmarr	12	64.23
msgmissionhumanity	12	64.247
mujh	12	64.263
mustwatchmsg	12	64.28
narendra	12	64.296
ojasism	12	64.312
paar	12	64.329
padha	12	64.345
pahunch	12	64.362
pakad	12	64.378
purani	12	64.395
ranaayyub	12	64.411
samay	12	64.427
sapne	12	64.444
shahrcasm	12	64.46
shahrukh	12	64.477
slimswamy	12	64.493
sona	12	64.51
suno	12	64.526
tez	12	64.543
their	12	64.559
them	12	64.575
timesnow	12	64.592
unhone	12	64.608
waali	12	64.625
yo	12	64.641
zamana	12	64.658
zor	12	64.674
zzoker	12	64.69
aadha	11	64.706
aakar	11	64.721
aamir	11	64.736
aaptards	11	64.751
abpnewstv	11	64.766
achi	11	64.781
admin	11	64.796
agli	11	64.811
agr	11	64.826
airtel	11	64.841
akele	11	64.856
bachhe	11	64.871
bacho	11	64.886
bande	11	64.901
banta	11	64.917
bday	11	64.932
bheem	11	64.947
bhut	11	64.962
bijli	11	64.977
bleedblue	11	64.992
botal	11	65.007
bula	11	65.022
chalane	11	65.037
dekhiye	11	65.052
dhyaan	11	65.067
dhyan	11	65.082
dikhta	11	65.097
doodh	11	65.112
doosre	11	65.127
dutt	11	65.143
fark	11	65.158
gaana	11	65.173
gali	11	65.188
gaon	11	65.203
gud	11	65.218
gussa	11	65.233
gyaan	11	65.248
haryana	11	65.263
himmat	11	65.278
hokar	11	65.293
huye	11	65.308
indvpak	11	65.323
intezaar	11	65.338
jaake	11	65.353
jashn	11	65.369
jitni	11	65.384
kafi	11	65.399
kahani	11	65.414
karein	11	65.429
kese	11	65.444
khada	11	65.459
khali	11	65.474
khao	11	65.489
khareed	11	65.504
kijiye	11	65.519
kyuki	11	65.534
mandir	11	65.549
namo	11	65.564
nehi	11	65.579
paa	11	65.595
paida	11	65.61
paytm	11	65.625
pila	11	65.64
pointkyahai	11	65.655
purane	11	65.67
qandeel	11	65.685
raggedtag	11	65.7
rahulroushan	11	65.715
raina	11	65.73
rajiv	11	65.745
rakhi	11	65.76
rakhne	11	65.775
rona	11	65.79
sabka	11	65.806
sher	11	65.821
shraddhakapoor	11	65.836
sritikadhar	11	65.851
sunne	11	65.866
surgicalstrikes	11	65.881
taiyaar	11	65.896
ulta	11	65.911
utar	11	65.926
virodh	11	65.941
vodafone	11	65.956
aagaye	10	65.97
aai	10	65.984
ambani	10	65.997
amitshah	10	66.011
ankit	10	66.025
ayega	10	66.038
ayye	10	66.052
bacche	10	66.066
bache	10	66.079
banao	10	66.093
banna	10	66.107
banti	10	66.121
barabar	10	66.134
bcci	10	66.148
bdutt	10	66.162
bechare	10	66.175
bheja	10	66.189
bhejo	10	66.203
chaal	10	66.216
chota	10	66.23
could	10	66.244
darna	10	66.258
dekar	10	66.271
dhan	10	66.285
dharm	10	66.299
dikhane	10	66.312
dikhao	10	66.326
dilwale	10	66.34
dua	10	66.353
etc	10	66.367
exsecular	10	66.381
facebook	10	66.395
fayda	10	66.408
gandi	10	66.422
garam	10	66.436
ghum	10	66.449
gyan	10	66.463
haa	10	66.477
hahah	10	66.49
hawa	10	66.504
hogaye	10	66.518
humein	10	66.532
humse	10	66.545
inhone	10	66.559
into	10	66.573
iphone	10	66.586
jaakar	10	66.6
jadeja	10	66.614
jb	10	66.627
jhoot	10	66.641
jitne	10	66.655
kaale	10	66.668
kaan	10	66.682
kapil	10	66.696
kash	10	66.71
khaana	10	66.723
khate	10	66.737
khaye	10	66.751
khelta	10	66.764
khilaf	10	66.778
lanka	10	66.792
majak	10	66.805
mandal	10	66.819
marne	10	66.833
milkar	10	66.847
milke	10	66.86
msd	10	66.874
muje	10	66.888
mujhko	10	66.901
nainkatary	10	66.915
nautanki	10	66.929
nikla	10	66.942
paap	10	66.956
patakhe	10	66.97
phool	10	66.984
piche	10	66.997
pootna	10	67.011
rah	10	67.025
rehne	10	67.038
rehti	10	67.052
saalo	10	67.066
sabha	10	67.079
sabke	10	67.093
sagarikaghose	10	67.107
samjho	10	67.121
san	10	67.134
sara	10	67.148
sawaal	10	67.162
sri	10	67.175
taang	10	67.189
talaq	10	67.203
tatti	10	67.216
tujh	10	67.23
unsubtledesi	10	67.244
uth	10	67.258
vyomnaut	10	67.271
without	10	67.285
zameen	10	67.299
aadhe	9	67.311
aahe	9	67.323
aashirwad	9	67.336
achchi	9	67.348
amitabh	9	67.36
apke	9	67.373
bachchan	9	67.385
bechara	9	67.397
bewakoof	9	67.41
bhare	9	67.422
bhole	9	67.434
bhook	9	67.447
bhot	9	67.459
bigad	9	67.471
celeb	9	67.484
chalti	9	67.496
choti	9	67.508
chutiye	9	67.521
congrats	9	67.533
dala	9	67.545
dashhtweets	9	67.557
doosri	9	67.57
durr	9	67.582
dusro	9	67.594
failedcmnitish	9	67.607
gf	9	67.619
gurgaon	9	67.631
haalat	9	67.644
halat	9	67.656
hara	9	67.668
horaha	9	67.681
hy	9	67.693
intezar	9	67.705
ismein	9	67.718
jaag	9	67.73
jaanch	9	67.742
jaanta	9	67.755
jaenge	9	67.767
jald	9	67.779
jawaab	9	67.792
jdu	9	67.804
joydas	9	67.816
kaala	9	67.829
kahaanify	9	67.841
kahenge	9	67.853
karunga	9	67.866
kehti	9	67.878
khatm	9	67.89
khela	9	67.903
khelte	9	67.915
knicks	9	67.927
kripa	9	67.94
kshisodia	9	67.952
kyonki	9	67.964
ladai	9	67.977
laddu	9	67.989
lagata	9	68.001
lagte	9	68.014
lamba	9	68.026
landacquisitionbill	9	68.038
luv	9	68.051
maarne	9	68.063
maarte	9	68.075
maggi	9	68.088
marte	9	68.1
naha	9	68.112
naukri	9	68.125
nikle	9	68.137
padhne	9	68.149
pandya	9	68.162
peeta	9	68.174
piya	9	68.186
pucha	9	68.199
rahane	9	68.211
rone	9	68.223
salu	9	68.236
satya	9	68.248
sharab	9	68.26
sharanyashettyy	9	68.273
shoaib	9	68.285
sim	9	68.297
sudhar	9	68.31
sunte	9	68.322
supw	9	68.334
swagat	9	68.347
tareef	9	68.359
thak	9	68.371
thedillimirror	9	68.383
udhar	9	68.396
until	9	68.408
usme	9	68.42
vadra	9	68.433
yuvraj	9	68.445
zarurat	9	68.457
aadhi	8	68.468
abey	8	68.479
akela	8	68.49
anupampkher	8	68.501
ata	8	68.512
azaadi	8	68.523
baarish	8	68.534
bachi	8	68.545
badha	8	68.556
badnaam	8	68.567
banate	8	68.578
bataya	8	68.589
bedi	8	68.6
bekar	8	68.611
bf	8	68.622
bhaag	8	68.633
bhag	8	68.644
bhikari	8	68.655
bitcoin	8	68.666
bna	8	68.677
buri	8	68.688
burnol	8	68.699
catwomaniya	8	68.71
cheen	8	68.72
chhe	8	68.731
chipka	8	68.742
chote	8	68.753
darshan	8	68.764
deepika	8	68.775
dev	8	68.786
dhokha	8	68.797
dukh	8	68.808
duper	8	68.819
dur	8	68.83
during	8	68.841
faadutweets	8	68.852
fuljhadii	8	68.863
garmi	8	68.874
ghamand	8	68.885
gir	8	68.896
haddhaiyaar	8	68.907
hafte	8	68.918
haq	8	68.929
hinnaz	8	68.94
iamkits	8	68.951
iamsonisinghal	8	68.962
iitb	8	68.973
ind	8	68.983
indvsl	8	68.994
insan	8	69.005
jaage	8	69.016
jaha	8	69.027
jaiye	8	69.038
jama	8	69.049
jaunga	8	69.06
jeena	8	69.071
jeene	8	69.082
jeete	8	69.093
jeetne	8	69.104
jha	8	69.115
jisko	8	69.126
joote	8	69.137
kahe	8	69.148
kaho	8	69.159
kahte	8	69.17
karde	8	69.181
karegi	8	69.192
katrina	8	69.203
kaunse	8	69.214
kavitabika	8	69.225
kehne	8	69.236
khila	8	69.246
khul	8	69.257
khulla	8	69.268
kiran	8	69.279
laal	8	69.29
laddoo	8	69.301
ladkon	8	69.312
lagana	8	69.323
lagane	8	69.334
launda	8	69.345
launde	8	69.356
leni	8	69.367
lga	8	69.378
likhe	8	69.389
lunga	8	69.4
masala	8	69.411
maukamauka	8	69.422
misbah	8	69.433
mitch	8	69.444
naahi	8	69.455
namak	8	69.466
nasha	8	69.477
nikaal	8	69.488
padte	8	69.499
padti	8	69.509
pandey	8	69.52
pareshaan	8	69.531
patthar	8	69.542
paybackindia	8	69.553
pehen	8	69.564
pehna	8	69.575
phenk	8	69.586
phle	8	69.597
plzz	8	69.608
pooja	8	69.619
pradesh	8	69.63
prem	8	69.641
rahegi	8	69.652
rahenge	8	69.663
rai	8	69.674
rayta	8	69.685
rehna	8	69.696
rishta	8	69.707
rok	8	69.718
roshd	8	69.729
rts	8	69.74
rula	8	69.751
rulayega	8	69.762
sada	8	69.772
sanjay	8	69.783
selfie	8	69.794
shivay	8	69.805
shobha	8	69.816
smogindelhi	8	69.827
sonam	8	69.838
sote	8	69.849
tanmay	8	69.86
taqleef	8	69.871
thakur	8	69.882
thats	8	69.893
tk	8	69.904
toastingtoaster	8	69.915
tukde	8	69.926
tumlog	8	69.937
tweepshikha	8	69.948
ulti	8	69.959
umeed	8	69.97
uttar	8	69.981
which	8	69.992
yonitishsotantrik	8	70.003
